sample_index,actual_target,predicted_probability,feature,feature_value,shap_value,effect,base_value
271,1,0.9955192446625063,expenditure_ratio,144.42035371409122,4.201633108267291,increases risk,-1.4566378544947478
271,1,0.9955192446625063,expenditure,3097.34,0.9045230183738672,increases risk,-1.4566378544947478
271,1,0.9955192446625063,agency_final_National_Highways_Authority_of_India_(NHAI),1.0,0.7131057595076686,increases risk,-1.4566378544947478
271,1,0.9955192446625063,physical_progress,98.8,0.5457444402798539,increases risk,-1.4566378544947478
271,1,0.9955192446625063,original_cost,2144.67,0.37188541661630514,increases risk,-1.4566378544947478
271,1,0.9955192446625063,sector_Coal,0.0,0.22670469269392585,increases risk,-1.4566378544947478
271,1,0.9955192446625063,previous_progress,61.0,0.08693426915651155,increases risk,-1.4566378544947478
271,1,0.9955192446625063,sector_Roads___Highways,1.0,0.07384653882844097,increases risk,-1.4566378544947478
271,1,0.9955192446625063,ministry_final_Ministry_of_Railways,0.0,0.04446671436066329,increases risk,-1.4566378544947478
271,1,0.9955192446625063,progress_velocity,0.0,0.04350937844006312,increases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Tamil_Nadu,0.0,0.03950266625501709,increases risk,-1.4566378544947478
271,1,0.9955192446625063,ministry_final_Ministry_of_Road_Transport___Highways,1.0,0.039116931636210994,increases risk,-1.4566378544947478
271,1,0.9955192446625063,ministry_final_Ministry_of_Coal,0.0,0.03531057723549436,increases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Rajasthan,0.0,0.03452954654344802,increases risk,-1.4566378544947478
271,1,0.9955192446625063,pmgid_-,0.0,0.031481225617732804,increases risk,-1.4566378544947478
271,1,0.9955192446625063,approval_date_03_2018,1.0,-0.521064494229396,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,legacy_ocms_code_-,1.0,-0.1317908134833909,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,previous_expenditure,269.67,-0.12656083537858995,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,expenditure_velocity,0.0002649006622516,-0.02488722702769069,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Himachal_Pradesh,0.0,-0.02194555747653639,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,agency_final_Ministry_of_Petroleum___Natural_Gas,0.0,-0.018866257263973233,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,sector_Water_Resources,0.0,-0.016242750559432938,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Delhi,1.0,-0.015676512805801204,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,pmgid_Unknown,0.0,-0.011474154471518994,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Bihar,0.0,-0.010996256917343595,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Haryana,0.0,-0.01044927002635302,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Gujarat,0.0,-0.01018586612901362,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,ministry_final_Department_of_Water_Resources__River_Development___GR,0.0,-0.0075219304125274415,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,agency_final_MinistryofPetroleumNaturalGas,0.0,-0.0068921567217998326,decreases risk,-1.4566378544947478
271,1,0.9955192446625063,state_Punjab,0.0,-0.006724519590359743,decreases risk,-1.4566378544947478
