report_month,project_code,original_cost,expenditure,expenditure_ratio,physical_progress,previous_progress,progress_change,progress_velocity,previous_expenditure,expenditure_change,expenditure_velocity,previous_observations,months_observed,days_since_first_report,has_physical_progress,has_expenditure,has_original_cost,state,sector,ministry_final,agency_final,start_date,original_doc,future_time_delay
2025-02-01,400259,17237.8,20967.25,121.63530148858904,94.0,,,,,,,0,1,0,1,1,1,Uttar Pradesh,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],07/2016,,1
2025-07-01,400259,17237.8,20135.48,116.8100337630092,92.0,94.0,-2.0,-0.0133333333333333,20967.25,-831.7700000000004,-5.545133333333336,1,2,150,1,1,1,Uttar Pradesh,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],,,1
2025-11-01,400259,17237.8,20711.46,120.1514114330135,93.0,93.0,0.0,0.0,20522.3,189.15999999999983,6.101935483870963,4,5,273,1,1,1,Uttar Pradesh,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],,,1
2025-12-01,400259,17237.8,20743.86,120.33937045330612,94.0,93.0,1.0,0.0333333333333333,20711.46,32.400000000001455,1.0800000000000485,5,6,303,1,1,1,Uttar Pradesh,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],,,1
2025-02-01,607701,412.3,467.7,113.43681785107933,90.0,,,,,,,0,1,0,1,1,1,Assam,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,05/2021,,1
2025-07-01,607701,412.3,430.83,104.49430026679605,84.0,90.0,-6.0,-0.04,467.7,-36.870000000000005,-0.2458,1,2,150,1,1,1,Assam,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-11-01,607701,412.3,451.05,109.39849624060147,88.0,87.0,1.0,0.032258064516129,445.73,5.319999999999993,0.1716129032258062,4,5,273,1,1,1,Assam,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-12-01,607701,412.3,458.56,111.2199854474897,89.0,88.0,1.0,0.0333333333333333,451.05,7.509999999999991,0.250333333333333,5,6,303,1,1,1,Assam,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,,,1
2025-07-01,611657,2820.99,2454.26,86.99995391688735,84.0,,,,,,,0,1,0,1,1,1,Gujarat,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-11-01,611657,2820.99,2783.19,98.66004487786203,95.0,93.0,2.0,0.064516129032258,2736.36,46.82999999999993,1.5106451612903202,3,4,123,1,1,1,Gujarat,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-07-01,611937,417.53,223.0,53.40933585610615,86.0,,,,,,,0,1,0,1,1,1,Gujarat,Railways,Ministry of Railways,Western Railway [WR] - II,,,1
2025-02-01,611947,428.3,351.21,82.00093392481904,84.0,,,,,,,0,1,0,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],11/2023,,1
2025-07-01,611947,428.3,107.07,24.998832593976186,46.0,84.0,-38.0,-0.2533333333333333,351.21,-244.14,-1.6276,1,2,150,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-11-01,611947,428.3,308.38,72.00093392481904,80.0,73.0,7.0,0.2258064516129032,291.24,17.139999999999986,0.5529032258064511,4,5,273,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-12-01,611947,428.3,334.08,78.00140088722857,82.0,80.0,2.0,0.0666666666666666,308.38,25.69999999999999,0.8566666666666662,5,6,303,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-02-01,611948,2211.29,2087.01,94.37975118595934,95.0,,,,,,,0,1,0,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],10/2023,,1
2025-07-01,611948,2211.29,1780.53,80.51996798248986,72.0,95.0,-23.0,-0.1533333333333333,2087.01,-306.48000000000025,-2.043200000000001,1,2,150,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-11-01,611948,2211.29,1975.34,89.32975774321775,92.0,88.0,4.0,0.1290322580645161,1945.93,29.40999999999985,0.9487096774193502,4,5,273,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-12-01,611948,2211.29,2081.24,94.11881752280344,94.0,92.0,2.0,0.0666666666666666,1975.34,105.89999999999986,3.529999999999996,5,6,303,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-02-01,611950,2190.54,2139.44,97.66724186730214,99.0,,,,,,,0,1,0,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],09/2023,,1
2025-07-01,611950,2190.54,1740.6,79.45985921279684,77.0,99.0,-22.0,-0.1466666666666666,2139.44,-398.84000000000015,-2.6589333333333345,1,2,150,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-11-01,611950,2190.54,2000.84,91.34003487724488,96.0,91.0,5.0,0.1612903225806451,1949.58,51.25999999999999,1.653548387096774,4,5,273,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
2025-02-01,611951,688.74,685.98,99.5992682289398,99.0,,,,,,,0,1,0,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],12/2021,,1
2025-07-01,611951,688.74,585.42,84.99869326596394,93.0,99.0,-6.0,-0.04,685.98,-100.56000000000006,-0.6704000000000004,1,2,150,1,1,1,Rajasthan,Transmission & Distribution,Ministry of Power,Power Grid Corporation of India Limited [POWERGRID],,,1
