feature,importance
agency_final_Indian_Institute_of_Technology__Bombay,0
agency_final_Indian_Institute_of_Technology__Hyderabad,0
agency_final_Indian_Institute_of_Technology__Indore,0
agency_final_Indian_Institute_of_Technology__Kharagpur,0
agency_final_Indian_Institute_of_Technology__Mandi,0
agency_final_Indian_Institutes_of_Science_Education_and_Research__Behrampur,0
agency_final_Indian_Oil_Corporation_Limited_(IOCL),0
agency_final_Indian_Port_Rail___Ropeway_Corporation_Ltd._(IPRCL),0
agency_final_Indian_Railway,0
agency_final_Indian_intitue_of_Management__Amritsar,0
agency_final_Inland_Waterways_Authority_of_India_(IWAI),0
agency_final_Irrigation___Water_Resources-UP,0
agency_final_Irrigation_and_CAD-TG,0
agency_final_Irrigation-UK,0
agency_final_KMDA,0
agency_final_Karnataka_Rail_Infrastructure_Development_Company_Limited_(K-RIDE),0
agency_final_M_S_SRC_company_Infra_Private_Limited,0
agency_final_MCL_-_CIL,0
agency_final_MIS_MoCoal_Integration_Logins,0
agency_final_MRIDC,0
agency_final_MRTP,0
agency_final_Madhya_Pradesh_Metro_Rail_Co_Limited_(MPMRCL),0
agency_final_Mahanadi_Coalfields_Limited_(MCL),0
agency_final_Maharashtra_Metro_Rail_Corporation_Limited_(MMRCL),0
agency_final_Mangalore_Refinary_and_Petrochemicals_Limited,0
agency_final_Medical_Education__Ministry_of_Health_and_Family_Welfare,0
agency_final_Metro_Railway__Kolkata,0
agency_final_Ministry_of_Coal,0
agency_final_Ministry_of_Education,0
agency_final_Ministry_of_Health___Family_Welfare,0
agency_final_Ministry_of_Mines,0
agency_final_Ministry_of_Petroleum_and_Natural_Gas,0
agency_final_Mumbai_Metro_Rail_Corporation_Limited_(MMRC),0
agency_final_Mumbai_Port_Trust_(MPT),0
agency_final_Mumbai_Rail_Vikas_Corporation_Ltd.(MRVC),0
agency_final_NALCO,0
agency_final_NCR,0
agency_final_NER,0
agency_final_NFR,0
agency_final_NIT_Mizoram,0
agency_final_NIT_Nagaland,0
agency_final_NIT_Patna,0
agency_final_NIT_Rourkela,0
agency_final_NIT_Sikkim,0
agency_final_NLC_India_Limited_(NLCIL),0
agency_final_NMDC,0
agency_final_NR,0
agency_final_NRL,0
agency_final_NTPC,0
agency_final_NWR,0
agency_final_Narmada_and_Water_Resources__Water_Supply_and_Kalpsar_Department-GJ,0
agency_final_National_Aluminium_Company_Limited_(NALCO),0
agency_final_National_Buildings_Construction_Corporation_(NBCC),0
agency_final_National_Capital_Region_Transport_Corporation_(NCRTC),0
agency_final_National_Communication_Academy_-_Finance_(Erstwhile_NICF),0
agency_final_National_High_Speed_Rail_Corporation_(NHSRC),0
agency_final_National_Highways___Infrastructure_Development_Corporation_Ltd._(NHIDCL),0
agency_final_National_Hydroelectric_Power_Corporation_Limited_(NHPC),0
agency_final_National_Hydroelectric_Power_Corporation_Limited_(NHPC)_duplicate_1,0
agency_final_National_Industrial_Corridor_Development_Corporation,0
agency_final_National_Institute_of_Technology_Delhi,0
agency_final_National_Institute_of_Technology_Uttarakhand,0
agency_final_National_Institute_of_Technology__Arunachal_Pradesh,0
agency_final_National_Institute_of_Technology__Meghalaya,0
agency_final_National_Institute_of_Technology__Puducherry,0
agency_final_National_Mineral_Development_Corporation_Limited_(NMDC),0
agency_final_New_Mangalore_Port_Authority,0
agency_final_North_Central_Railway,0
agency_final_North_Central_Railway_(NCR)_-_II,0
agency_final_North_Eastern_Electric_Power_Corporation_Limited,0
agency_final_North_Eastern_Railway_(NER)_-_II,0
agency_final_North_Eastern_Railway_(NER),0
agency_final_Northeast_Frontier_Railway_(NFR)_-_II,0
agency_final_Northeast_Frontier_Railway_(NFR),0
agency_final_Northen_Railway_(NR),0
agency_final_Northern_Coalfields_Limited_(NCL),0
agency_final_Northern_Railways,0
agency_final_OIL,0
agency_final_ONGC,0
agency_final_PCE_NCR,0
agency_final_PCE_WR,0
agency_final_Paradip_Port_Trust_(PPT),0
agency_final_Patna_Metro_Rail_Corporation_Ltd._(PMRCL),0
agency_final_RCIL,0
agency_final_RITES_OF_HIGHER,0
agency_final_RVNL,0
agency_final_RVNL_-_I,0
agency_final_Rail_Land_Development_Authority,0
agency_final_Rail_Vikas_Nigam_Limited,0
agency_final_Railway,0
agency_final_Reliance_Industries_Ltd,0
agency_final_SECL_-_CIL,0
agency_final_SECR,0
agency_final_SJVN,0
agency_final_SR,0
agency_final_SR-ERS,0
agency_final_SWR,0
agency_final_Satluj_Jal_Vidyut_Nigam_(SJVN)_Thermal_Limited,0
agency_final_Sikkim_University,0
agency_final_Singareni_Collieries_Company_Limited_(SCCL),0
agency_final_Smart_City_Mission,0
agency_final_South_Central_Railway_(SCR)_-_I,0
agency_final_South_East_Central_Railway,0
agency_final_South_East_Central_Railway_(SECR)_-_II,0
agency_final_South_Eastern_Central_Railway,0
agency_final_South_Eastern_Coalfields_Limited_(SECL),0
agency_final_South_Eastern_Railway_-_JH,0
agency_final_South_Eastern_Railway_(SER)_-_I,0
agency_final_Southern_Railway_(SR)_-_I,0
agency_final_Southern_Railway_(SR)_-_II,0
agency_final_Southern_Railways_(SR)_-_construction,0
agency_final_Steel_Authority_of_India_Limited_(SAIL),0
agency_final_Sterlite_Power,0
agency_final_THDC_India_Limited,0
agency_final_Tezpur_University,0
agency_final_UPJalNigam,0
agency_final_Uttar_Pradesh_metro_rail_corporation_(UPMRC),0
agency_final_WCL,0
agency_final_WCL_-_CIL,0
agency_final_WCR,0
agency_final_WPO_Patna,0
agency_final_WR,0
agency_final_Water_Resources_Department-MN,0
agency_final_Water_Resources-AP,0
agency_final_Water_Resources-BR,0
agency_final_Water_Resources-CT,0
agency_final_Water_Resources-KA,0
agency_final_Water_Resources-MP,0
agency_final_Water_Resources-OR,0
agency_final_Water_resource-mp,0
agency_final_West_Central_Railway_WCR_I,0
agency_final_West_Central_Railway_(WCR)_-_II,0
agency_final_Western_Coalfields_Limited_(WCL),0
agency_final_Western_Railway,0
agency_final_Western_Railway_(WR)_-_II,0
agency_final_Western_Railway_WR_-_II,0
approval_date_01_1998,0
approval_date_01_1999,0
approval_date_01_1999_(10_2002),0
approval_date_01_2004,0
approval_date_01_2006,0
approval_date_01_2006_(01_2006),0
approval_date_01_2007,0
approval_date_01_2007_(03_1998),0
approval_date_01_2008,0
approval_date_01_2009,0
approval_date_01_2009_(11_2009),0
approval_date_01_2010,0
approval_date_01_2011,0
approval_date_01_2012,0
approval_date_01_2014,0
approval_date_01_2014_(01_2014),0
approval_date_01_2014_(10_2016),0
approval_date_01_2014_(10_2017),0
approval_date_01_2014_(11_2016),0
approval_date_01_2016,0
approval_date_01_2016_(01_2023),0
approval_date_01_2016_(09_2024),0
approval_date_01_2016_(10_2017),0
approval_date_01_2016_(10_2024),0
approval_date_01_2017,0
approval_date_01_2017_(01_2017),0
approval_date_01_2017_(01_2024),0
approval_date_01_2017_(05_2017),0
approval_date_01_2017_(06_2017),0
approval_date_01_2017_(08_2017),0
approval_date_01_2018,0
approval_date_01_2018_(01_2018),0
approval_date_01_2018_(02_2018),0
approval_date_01_2018_(05_2018),0
approval_date_01_2018_(06_2018),0
approval_date_01_2018_(08_2018),0
approval_date_01_2018_(10_2020),0
approval_date_01_2018_(11_2019),0
approval_date_01_2019,0
approval_date_01_2019_(01_2019),0
approval_date_01_2019_(01_2021),0
approval_date_01_2019_(03_2019),0
approval_date_01_2019_(04_2017),0
approval_date_01_2019_(04_2023),0
approval_date_01_2019_(07_2020),0
approval_date_01_2019_(10_2021),0
approval_date_01_2019_(12_2020),0
approval_date_01_2020,0
approval_date_01_2020_(01_2020),0
approval_date_01_2020_(07_2021),0
approval_date_01_2020_(10_2021),0
approval_date_01_2021,0
approval_date_01_2021_(01_2021),0
approval_date_01_2021_(01_2022),0
approval_date_01_2021_(02_2021),0
approval_date_01_2021_(02_2022),0
approval_date_01_2021_(04_2022),0
approval_date_01_2021_(07_2021),0
approval_date_01_2021_(07_2022),0
approval_date_01_2021_(09_2022),0
approval_date_01_2021_(09_2023),0
approval_date_01_2021_(10_2022),0
approval_date_01_2021_(12_2021),0
approval_date_01_2022_(01_2022),0
approval_date_01_2022_(01_2023),0
approval_date_01_2022_(02_2023),0
approval_date_01_2022_(02_2024),0
approval_date_01_2022_(03_2023),0
approval_date_01_2022_(03_2024),0
approval_date_01_2022_(05_2023),0
approval_date_01_2022_(07_2022),0
approval_date_01_2022_(08_2022),0
approval_date_01_2022_(09_2023),0
approval_date_01_2022_(09_2024),0
approval_date_01_2022_(10_2022),0
approval_date_01_2022_(10_2023),0
approval_date_01_2022_(10_2024),0
approval_date_01_2022_(11_2022),0
approval_date_01_2022_(12_2022),0
approval_date_01_2023,0
approval_date_01_2023_(01_2023),0
approval_date_01_2023_(02_2024),0
approval_date_01_2023_(02_2025),0
approval_date_01_2023_(03_2024),0
approval_date_01_2023_(04_2023),0
approval_date_01_2023_(05_2023),0
approval_date_01_2023_(06_2024),0
approval_date_01_2023_(09_2023),0
approval_date_01_2023_(11_2023),0
approval_date_01_2023_(12_2023),0
approval_date_01_2024,0
approval_date_01_2024_(01_2024),0
approval_date_01_2024_(01_2025),0
approval_date_01_2024_(05_2024),0
approval_date_01_2024_(07_2024),0
approval_date_01_2024_(09_2024),0
approval_date_01_2025,0
approval_date_01_2025_(01_2025),0
approval_date_01_2025_(02_2025),0
approval_date_01_2026,0
approval_date_02_2008,0
approval_date_02_2008_(01_2012),0
approval_date_02_2008_(03_2013),0
approval_date_02_2010,0
approval_date_02_2010_(04_2018),0
approval_date_02_2011,0
approval_date_02_2011_(02_2011),0
approval_date_02_2011_(03_2023),0
approval_date_02_2012,0
approval_date_02_2012_(02_2012),0
approval_date_02_2013,0
approval_date_02_2013_(03_2013),0
approval_date_02_2014,0
approval_date_02_2014_(02_2016),0
approval_date_02_2015,0
approval_date_02_2015_(02_2015),0
approval_date_02_2015_(03_2023),0
approval_date_02_2015_(10_2024),0
approval_date_02_2016,0
approval_date_02_2016_(04_2018),0
approval_date_02_2016_(05_2016),0
approval_date_02_2016_(06_2016),0
approval_date_02_2017,0
approval_date_02_2017_(02_2017),0
approval_date_02_2017_(03_2018),0
approval_date_02_2017_(06_2017),0
approval_date_02_2017_(07_2018),0
approval_date_02_2017_(08_2017),0
approval_date_02_2017_(09_2017),0
approval_date_02_2017_(09_2022),0
approval_date_02_2017_(10_2020),0
approval_date_02_2017_(12_2018),0
approval_date_02_2017_(12_2019),0
approval_date_02_2018,0
approval_date_02_2018_(02_2018),0
approval_date_02_2018_(02_2021),0
approval_date_02_2018_(04_2019),0
approval_date_02_2018_(05_2018),0
approval_date_02_2018_(05_2022),0
approval_date_02_2018_(06_2018),0
approval_date_02_2018_(06_2022),0
approval_date_02_2018_(11_2019),0
approval_date_02_2018_(12_2023),0
approval_date_02_2019,0
approval_date_02_2019_(01_2022),0
approval_date_02_2019_(02_2019),0
approval_date_02_2019_(02_2020),0
approval_date_02_2019_(03_2021),0
approval_date_02_2019_(09_2019),0
approval_date_02_2019_(10_2021),0
approval_date_02_2020,0
approval_date_02_2020_(02_2020),0
approval_date_02_2020_(03_2021),0
approval_date_02_2020_(05_2022),0
approval_date_02_2020_(07_2020),0
approval_date_02_2020_(08_2021),0
approval_date_02_2020_(09_2020),0
approval_date_02_2020_(09_2024),0
approval_date_02_2021_(01_2022),0
approval_date_02_2021_(01_2023),0
approval_date_02_2021_(02_2021),0
approval_date_02_2021_(03_2021),0
approval_date_02_2021_(03_2022),0
approval_date_02_2021_(04_2023),0
approval_date_02_2021_(06_2021),0
approval_date_02_2021_(06_2023),0
approval_date_02_2021_(07_2022),0
approval_date_02_2021_(08_2022),0
approval_date_02_2021_(10_2021),0
approval_date_02_2021_(10_2023),0
approval_date_02_2021_(11_2021),0
approval_date_02_2021_(12_2021),0
approval_date_02_2021_(12_2022),0
approval_date_02_2021_(12_2024),0
approval_date_02_2022,0
approval_date_02_2022_(01_2023),0
approval_date_02_2022_(01_2025),0
approval_date_02_2022_(02_2022),0
approval_date_02_2022_(02_2024),0
approval_date_02_2022_(03_2023),0
approval_date_02_2022_(04_2023),0
approval_date_02_2022_(05_2023),0
approval_date_02_2022_(06_2022),0
approval_date_02_2022_(06_2023),0
approval_date_02_2022_(07_2023),0
approval_date_02_2022_(09_2023),0
approval_date_02_2022_(11_2022),0
approval_date_02_2022_(12_2022),0
approval_date_02_2023_(01_2024),0
approval_date_02_2023_(02_2023),0
approval_date_02_2023_(02_2024),0
approval_date_02_2023_(03_2024),0
approval_date_02_2023_(07_2024),0
approval_date_02_2023_(11_2023),0
approval_date_02_2023_(12_2022),0
approval_date_02_2024_(01_2025),0
approval_date_02_2024_(02_2024),0
approval_date_02_2024_(03_2024),0
approval_date_02_2024_(03_2025),0
approval_date_02_2024_(04_2023),0
approval_date_02_2024_(08_2024),0
approval_date_02_2025,0
approval_date_02_2025_(02_2025),0
approval_date_02_2026,0
approval_date_03_1983,0
approval_date_03_1983_(05_1985),0
approval_date_03_1994,0
approval_date_03_1994_(03_2001),0
approval_date_03_1998,0
approval_date_03_1999,0
approval_date_03_2001,0
approval_date_03_2001_(02_2008),0
approval_date_03_2001_(10_2004),0
approval_date_03_2002,0
approval_date_03_2004,0
approval_date_03_2004_(12_2004),0
approval_date_03_2008,0
approval_date_03_2008_(05_2009),0
approval_date_03_2008_(07_2010),0
approval_date_03_2009,0
approval_date_03_2009_(04_2015),0
approval_date_03_2009_(09_2013),0
approval_date_03_2010,0
approval_date_03_2010_(03_2010),0
approval_date_03_2010_(03_2018),0
approval_date_03_2010_(04_2010),0
approval_date_03_2010_(07_2012),0
approval_date_03_2010_(10_2011),0
approval_date_03_2011,0
approval_date_03_2011_(07_2018),0
approval_date_03_2012,0
approval_date_03_2012_(12_2016),0
approval_date_03_2013,0
approval_date_03_2013_(03_2013),0
approval_date_03_2013_(08_2014),0
approval_date_03_2013_(12_2007),0
approval_date_03_2013_(12_2015),0
approval_date_03_2014,0
approval_date_03_2014_(03_2022),0
approval_date_03_2015,0
approval_date_03_2015_(08_2015),0
approval_date_03_2015_(09_2017),0
approval_date_03_2015_(10_2015),0
approval_date_03_2015_(12_2016),0
approval_date_03_2016_(01_2014),0
approval_date_03_2016_(01_2018),0
approval_date_03_2016_(02_2017),0
approval_date_03_2016_(03_1999),0
approval_date_03_2016_(03_2016),0
approval_date_03_2016_(03_2017),0
approval_date_03_2016_(05_2017),0
approval_date_03_2016_(09_2017),0
approval_date_03_2016_(09_2023),0
approval_date_03_2016_(11_2017),0
approval_date_03_2016_(11_2019),0
approval_date_03_2016_(12_2016),0
approval_date_03_2017_(02_2018),0
approval_date_03_2017_(03_2017),0
