Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.8385160938352427,0.6505016722408027,0.8172268907563025,0.7243947858472998,0.9074531065189524
CatBoost,0.823240589198036,0.6254125412541254,0.7962184873949579,0.7005545286506469,0.8989351820315452
LightGBM,0.8810692853246045,0.7452471482889734,0.8235294117647058,0.782435129740519,0.9416145972021823
Simple Soft Voting,0.8554282596835788,0.6803418803418804,0.8361344537815126,0.7502356267672008,0.9265727661735291
Weighted Ensemble,0.8657937806873978,0.7031802120141343,0.8361344537815126,0.763915547024952,0.9324402568691441
