Feature,Importance
state_Multi_States__Bihar__Uttar_Pradesh_,0.0
state_Multi_States__Bihar__West_Bengal_,0.0
state_Multi_States__Chhattisgarh__Madhya_Pradesh__Maharashtra__Odisha_,0.0
state_Multi_States__Chhattisgarh__Maharashtra_,0.0
state_Multi_States__Chhattisgarh__Odisha_,0.0
state_Multi_States__Dadra___Nagar_Haveli_and_Daman___Diu__Gujarat__Maharashtra_,0.0
state_Multi_States__Delhi__Gujarat__Madhya_Pradesh__Maharashtra__Rajasthan_,0.0
state_Multi_States__Delhi__Haryana_,0.0
state_Multi_States__Delhi__Rajasthan_,0.0
state_Multi_States__Delhi__Uttar_Pradesh_,0.0
state_Multi_States__Goa__Karnataka_,0.0
state_Multi_States__Goa__Karnataka__Maharashtra__Telangana_,0.0
state_Multi_States__Gujarat__Haryana__Maharashtra__Rajasthan__Uttar_Pradesh_,0.0
state_Multi_States__Gujarat__Haryana__Punjab__Rajasthan_,0.0
state_Multi_States__Gujarat__Haryana__Rajasthan_,0.0
state_Multi_States__Gujarat__Madhya_Pradesh_,0.0
state_Multi_States__Gujarat__Madhya_Pradesh__Uttar_Pradesh_,0.0
state_Multi_States__Gujarat__Maharashtra_,0.0
state_Multi_States__Gujarat__Rajasthan_,0.0
state_Multi_States__Haryana__Himachal_Pradesh_,0.0
state_Multi_States__Haryana__Punjab_,0.0
state_Multi_States__Haryana__Punjab__Rajasthan_,0.0
state_Multi_States__Haryana__Rajasthan_,0.0
state_Multi_States__Haryana__Uttar_Pradesh_,0.0
state_Multi_States__Himachal_Pradesh__Punjab_,0.0
state_Multi_States__Jammu_and_Kashmir__Punjab_,0.0
state_Multi_States__Jharkhand__Odisha_,0.0
state_Multi_States__Jharkhand__Odisha__West_Bengal_,0.0
state_Multi_States__Jharkhand__Uttar_Pradesh_,0.0
state_Multi_States__Jharkhand__West_Bengal_,0.0
state_Multi_States__Karnataka__Kerala__Tamil_Nadu_,0.0
state_Multi_States__Karnataka__Maharashtra_,0.0
state_Multi_States__Karnataka__Maharashtra__Telangana__Uttar_Pradesh_,0.0
state_Multi_States__Karnataka__Tamil_Nadu_,0.0
state_Multi_States__Karnataka__Telangana_,0.0
state_Multi_States__Kerala__Puducherry_,0.0
state_Multi_States__Kerala__Tamil_Nadu_,0.0
state_Multi_States__Madhya_Pradesh__Maharashtra_,0.0
state_Multi_States__Madhya_Pradesh__Rajasthan_,0.0
state_Multi_States__Madhya_Pradesh__Rajasthan__Uttar_Pradesh_,0.0
state_Multi_States__Madhya_Pradesh__Uttar_Pradesh_,0.0
state_Multi_States__Maharashtra__Telangana_,0.0
state_Multi_States__Odisha__West_Bengal_,0.0
state_Multi_States__Puducherry__Tamil_Nadu_,0.0
state_Multi_States__Punjab__Rajasthan_,0.0
state_Multi_States__Rajasthan__Uttar_Pradesh_,0.0
state_Multi_States__Sikkim__West_Bengal_,0.0
state_Multi_States__Uttar_Pradesh__Uttarakhand_,0.0
state_Multi_States__Uttar_Pradesh__West_Bengal_,0.0
state_PAN_India,0.0
state_Puducherry,0.0
state_Tripura,0.0
sector_CIVIL_AVIATION,0.0
sector_COAL,0.0
sector_Construction,0.0
sector_DEPARTMENT_OF_HIGHER_EDUCATION,0.0
sector_HEALTH_AND_FAMILY_WELFARE,0.0
sector_HOME_AFFAIRS,0.0
sector_Inland_Waterways,0.0
sector_Logistics_Infrastructure,0.0
sector_MINES,0.0
sector_PETROLEUM,0.0
sector_POWER,0.0
sector_RAILWAYS,0.0
sector_SHIPPING_AND_PORTS,0.0
sector_STEEL,0.0
sector_Shipping,0.0
sector_Tourism__Hospitality___Wellness,0.0
sector_URBAN_DEVELOPMENT,0.0
ministry_final_Department_for_Promotion_of_Industry___Internal_Trade,0.0
ministry_final_Department_of_Sports,0.0
ministry_final_Ministry_of_Civil_Aviation,0.0
ministry_final_Ministry_of_Labour_and_Employment,0.0
ministry_final_Ministry_of_Mines,0.0
agency_final_AAI,0.0
agency_final_Adani_Airport_Holdings_Limited,0.0
agency_final_Adani_Transmission_Limited,0.0
agency_final_BCCL___CIL,0.0
agency_final_BSNL,0.0
agency_final_BUIDCO,0.0
agency_final_Banaras_Hindu_University,0.0
agency_final_Bengaluru_Metro_Rail,0.0
agency_final_Bharat_Coking_Coal_Limited__BCCL_,0.0
agency_final_Bharat_Coking_Coal_Limited__BCCL__1,0.0
agency_final_CAO_C_II_NR,0.0
agency_final_CAO_C_NCR,0.0
agency_final_CAO_C_NR,0.0
agency_final_CAO_C_SECR,0.0
agency_final_CAO_C_SER,0.0
agency_final_CCL,0.0
agency_final_CCL___CIL,0.0
agency_final_CERL,0.0
agency_final_CORE,0.0
agency_final_CPM_ICF,0.0
agency_final_CPWD,0.0
agency_final_CPWD_EDUCATION,0.0
agency_final_CPWD_FOR_HEALTH,0.0
agency_final_CPWD_FOR_MHA,0.0
agency_final_CR,0.0
agency_final_CSPCC_Projects,0.0
agency_final_Central_Organisation_for_Railway_Electrification__CORE_,0.0
agency_final_Central_Public_Works_Department__CPWD_,0.0
agency_final_Central_Public_Works_Department___CPWD,0.0
agency_final_Central_Public_Works_Department__CPWD__1,0.0
agency_final_Central_Railway,0.0
agency_final_Central_Railway__CR____II,0.0
agency_final_Central_Railways,0.0
agency_final_Central_Tribal_University_of_Andhra_Pradesh,0.0
agency_final_Central_University_of_Gujarat,0.0
agency_final_Central_University_of_Punjab,0.0
agency_final_Central_University__Himachal_Pradesh,0.0
agency_final_CentralRailway,0.0
agency_final_Chennai_Metro_Rail_Limited__CMRL_,0.0
agency_final_Chennai_Petroleum_Corporation_Limited__CPCL_,0.0
agency_final_Construction_NER,0.0
agency_final_DFCCIL,0.0
agency_final_Damodar_Valley_Corporation,0.0
agency_final_Deendayal_Port_Trust,0.0
agency_final_Deendayal_Port_Trust__DPT_,0.0
agency_final_Delhi_Metro_Rail_Corporation_Limited__DMRC_,0.0
agency_final_Delhi_University,0.0
agency_final_Department_of_Sports___Youth_Affairs,0.0
agency_final_Department_of_Telecommunications,0.0
agency_final_Department_of_Telecommunications__DoT_,0.0
agency_final_Department_of_Water_Resources__River_Development___GR,0.0
agency_final_Department_of_Water_Resources_JH,0.0
agency_final_Department_of_Water_Resources_MH,0.0
agency_final_Department_of_Water_Resources_PB,0.0
agency_final_ECL___CIL,0.0
agency_final_ECOR,0.0
agency_final_ECR,0.0
agency_final_EDTK_MC__RB,0.0
agency_final_East_Central_Railway__ECR____II,0.0
agency_final_Eastern_Coal_Fields_Limited__ECL_,0.0
agency_final_Eastern_Railway__ER____I,0.0
